mellow	unpretentious	sophisticated	intense	contemporary	eq1	eq2	eq3	sq1	sq2	sq3	age
4	4	3	5	4	4	4	4	2	3	3	17
4	4	2	5	1	3	1	4	4	3	3	17
4	2	3	3	4	4	5	3	4	3	3	16
4	3	3	2	4	5	4	5	3	4	5	17
3	4	4	2	5	4	4	4	4	3	3	17
5	4	3	2	4	4	3	4	5	2	4	17
5	3	3	1	5	5	5	5	4	2	2	17
5	4	2	1	4	5	3	5	4	3	5	17
5	2	3	1	5	4	4	5	5	5	5	17
4	5	3	1	5	3	4	4	3	4	3	17
4	3	1	2	4	4	3	4	2	3	4	17
3	2	2	1	5	4	4	4	5	5	5	17
2	5	1	1	4	4	2	3	1	3	4	17
5	4	3	2	4	3	4	3	4	2	4	16
2	5	2	1	3	3	5	4	4	3	4	17
3	4	3	2	1	4	4	5	5	4	5	48
4	2	4	1	1	3	4	4	4	4	5	47
3	2	5	1	3	4	3	5	3	5	4	15
3	4	2	3	3	4	4	4	2	3	3	15
5	3	4	2	5	2	3	4	5	5	4	16
5	5	3	1	5	4	5	5	3	4	4	17
5	3	5	2	4	4	4	4	5	5	5	15
5	4	3	2	4	3	4	3	3	3	3	46
4	3	4	2	4	5	4	4	4	3	5	17
4	3	5	2	4	4	4	3	4	3	2	17
5	1	5	4	5	4	4	4	4	3	4	17
5	4	4	1	1	5	1	3	5	5	5	46
5	1	3	2	4	4	4	4	5	5	4	15
4	5	3	1	4	2	3	3	3	1	3	15
3	2	2	1	3	4	3	4	3	3	2	14
4	2	5	4	3	4	4	4	2	4	4	15
5	5	3	3	2	4	5	5	4	5	5	15
5	3	4	1	2	4	3	2	2	3	4	47
5	5	5	3	3	3	3	5	5	4	5	15
4	3	4	5	3	4	4	4	2	4	4	46
5	5	5	5	5	3	4	5	4	3	5	47
4	1	3	1	5	5	5	5	3	3	2	17
5	5	5	2	2	4	3	5	5	1	2	46
3	4	2	1	5	4	1	3	2	2	5	15
1	1	5	1	1	3	4	4	5	5	3	53
5	5	3	2	2	5	5	5	5	2	4	40
2	4	3	4	5	3	2	5	4	5	4	24
5	4	3	2	2	2	4	3	5	4	5	54
5	5	5	5	5	5	5	4	5	4	4	45
5	3	4	5	4	3	4	3	5	2	2	53
3	2	2	4	5	3	4	4	5	4	3	48
5	3	5	1	3	4	3	3	5	3	4	54
4	4	5	2	2	4	4	4	4	3	3	44
4	2	3	2	4	3	4	5	4	3	3	48
5	4	3	2	4	5	5	5	5	5	4	49
5	5	5	5	4	4	3	4	5	5	5	51
4	4	5	1	3	4	1	3	4	4	3	50
5	3	5	1	3	3	2	2	5	4	4	41
5	5	5	3	2	5	5	5	5	3	5	45
4	4	3	2	2	4	4	4	5	3	5	57
4	2	4	4	4	3	3	4	5	3	4	48
1	2	5	1	2	5	5	5	1	4	4	15
4	4	4	5	3	4	4	3	3	3	4	18
5	3	5	1	2	5	3	4	5	2	4	15
3	2	4	1	4	4	3	2	2	2	2	15
3	4	3	2	5	4	3	5	3	5	3	14
3	3	4	3	2	4	3	3	3	3	4	15
4	3	3	2	4	5	5	5	3	5	5	15
4	2	2	1	2	3	3	4	1	4	3	15
4	4	2	1	5	4	5	3	4	3	4	15
3	2	3	4	4	4	3	4	4	5	5	50
4	4	4	4	3	4	4	4	4	4	3	27
4	3	4	2	4	4	3	5	5	4	4	29
4	3	4	2	4	3	5	5	4	5	5	27
4	2	5	4	5	4	4	5	2	2	4	28
4	3	4	3	4	4	3	3	3	4	4	15
3	4	5	4	2	4	3	5	5	3	5	27
5	3	3	2	4	5	5	4	3	4	4	15
2	3	5	2	5	3	5	2	3	1	3	15
5	5	4	4	3	4	4	4	5	4	4	26
3	3	2	1	4	4	5	4	4	3	4	29
4	4	3	2	3	3	3	2	4	2	2	26
4	4	3	4	3	4	4	4	5	3	4	28
5	5	4	2	3	5	4	5	3	5	5	27
5	5	3	2	5	3	2	4	2	5	4	28
5	5	5	1	5	3	4	4	4	4	4	26
3	4	4	5	5	3	2	4	5	2	3	15
4	1	3	1	5	3	4	3	1	4	3	18
4	4	4	3	4	2	2	3	4	3	4	28
5	4	5	2	5	1	4	4	5	3	3	14
5	3	3	1	3	4	4	5	4	3	4	40
3	2	2	2	3	3	4	2	5	3	5	49
5	4	4	2	3	4	5	5	5	5	5	46
2	3	2	1	2	3	4	3	4	4	4	42
5	5	5	5	5	4	5	5	4	5	5	30
5	5	3	3	2	5	3	4	5	5	5	39
3	3	1	2	4	5	3	3	5	4	4	37
5	3	4	3	3	3	5	4	3	4	4	47
4	2	1	2	2	2	1	2	4	5	3	42
5	3	5	3	2	4	3	3	4	5	5	42
5	5	5	2	2	4	3	3	4	5	5	42
4	3	3	2	3	3	2	3	3	3	4	48
5	4	4	3	2	4	4	3	5	1	3	46
5	5	4	4	3	4	3	4	4	4	4	47
3	2	3	1	4	4	3	3	3	3	2	15
4	4	4	2	4	3	4	5	3	3	4	52
1	1	1	3	3	1	1	1	1	1	1	52
4	2	5	1	2	3	1	2	5	5	4	40
4	3	3	1	2	4	4	4	5	3	4	56
2	3	1	1	4	5	3	4	2	3	4	29
3	4	4	5	1	3	2	5	3	4	3	50
4	3	3	3	4	3	3	3	2	3	2	50
4	3	3	3	1	4	2	5	5	3	4	51
3	3	4	3	5	3	3	3	4	5	4	40
3	3	3	2	5	4	4	4	4	4	3	14
5	3	4	2	4	4	1	4	5	2	4	48
3	2	4	1	1	2	2	4	3	3	4	53
4	4	2	5	3	3	1	3	4	2	3	43
5	2	3	3	3	4	4	5	5	5	5	42
5	4	5	3	4	5	4	5	5	4	5	57
4	1	3	1	2	3	3	4	4	5	5	46
5	3	5	3	4	4	5	5	3	3	4	54
3	2	2	1	1	3	2	2	2	2	3	54
3	3	5	1	1	4	1	1	5	3	5	43
2	1	5	1	2	5	1	5	5	5	5	47
5	5	5	4	2	5	4	5	2	3	5	64
5	2	2	2	2	5	5	5	5	5	5	41
5	3	3	1	2	4	3	4	4	3	3	51
5	4	5	2	4	5	3	5	5	1	4	44
4	3	4	4	3	4	2	4	4	4	4	53
